User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000681,P600261,M,26-35,11,B,1,0,15,14.0,17.0,15499
1000267,P168779,M,36-45,11,A,4+,0,10,12.0,16.0,18645
1000251,P789969,F,0-17,18,C,3,1,4,,,5754
1000479,P833803,F,51-55,12,A,0,1,13,17.0,7.0,13234
1000185,P743907,F,0-17,16,C,0,1,14,2.0,2.0,8955
1000649,P411904,M,55+,13,A,4+,1,1,,,10797
1000322,P900936,M,55+,1,B,2,1,11,,13.0,18630
1000149,P731317,M,26-35,19,C,1,0,4,,13.0,5290
1000349,P816329,F,18-25,4,A,1,0,3,,,15859
1000839,P727689,M,18-25,20,A,3,1,15,,11.0,15725
1000067,P467733,F,46-50,10,A,4+,0,9,3.0,,5171
1000752,P449527,M,18-25,0,A,4+,1,16,2.0,,19683
1000859,P808630,F,51-55,7,B,4+,0,8,19.0,,7881
1000975,P560281,M,18-25,20,A,1,1,10,12.0,,8854
1000830,P630927,M,18-25,19,C,1,1,12,11.0,,16969
1000126,P951541,M,18-25,12,A,2,1,8,,20.0,7212
1000418,P134748,M,51-55,20,A,0,0,1,,,4608
1000661,P596284,M,26-35,11,B,3,0,17,18.0,11.0,10041
1000318,P730448,F,0-17,1,B,4+,1,7,6.0,15.0,11145
1000605,P577306,F,46-50,14,C,1,1,17,3.0,,10609
1000785,P970061,M,51-55,4,C,4+,0,12,,3.0,8281
1000073,P560920,F,46-50,20,C,1,1,7,8.0,,6718
1000435,P207781,F,51-55,10,C,1,0,14,1.0,15.0,19936
1000028,P783118,M,36-45,20,B,2,0,16,,5.0,14999
1000368,P857278,M,0-17,6,A,3,1,20,,2.0,3695
1000994,P609680,F,55+,13,B,1,0,3,,,5079
1000032,P827333,F,0-17,13,A,2,0,3,18.0,4.0,11981
1000465,P807161,F,55+,16,C,0,0,8,,5.0,3654
1000092,P523374,M,55+,9,A,3,1,8,,,14269
1000383,P785373,F,46-50,7,B,1,1,17,,,9803
1000904,P865364,M,36-45,5,B,2,0,19,11.0,,1559
1000173,P136535,M,51-55,12,B,4+,0,10,,5.0,3751
1000421,P539716,M,55+,5,B,0,1,5,10.0,20.0,7121
1000481,P243592,F,26-35,4,B,1,1,15,,,11884
1000124,P518177,F,26-35,8,A,3,1,3,,,9120
1000044,P795856,M,0-17,10,B,0,1,13,7.0,4.0,18481
1000648,P405801,F,0-17,20,C,0,1,18,,,4240
1000602,P455014,M,26-35,2,C,1,1,10,,3.0,6498
1000236,P887251,F,26-35,1,B,3,1,6,,,10597
1000255,P333214,M,46-50,2,A,3,0,7,3.0,,12314
1000708,P695013,F,18-25,11,B,1,1,14,5.0,8.0,3269
1000829,P663005,F,26-35,16,A,2,0,14,10.0,6.0,17739
1000128,P386853,F,36-45,3,A,2,1,6,12.0,14.0,741
1000475,P950989,F,46-50,1,A,0,1,8,8.0,7.0,13634
1000687,P853382,F,55+,19,C,4+,1,15,,,13037
1000910,P758631,F,36-45,5,B,4+,0,14,,12.0,14655
1000468,P482147,F,55+,18,B,0,1,15,,19.0,18386
1000388,P286805,M,51-55,4,A,4+,1,9,,5.0,17718
1000807,P386119,M,51-55,9,A,4+,1,16,,,3126
1000210,P947144,M,36-45,1,B,0,0,6,,,1384
1000963,P913240,M,18-25,12,C,3,0,14,,3.0,13024
1000317,P908771,M,55+,20,C,1,0,13,12.0,17.0,11369
1000556,P240317,F,36-45,7,C,4+,1,14,,,3089
1000951,P961842,M,18-25,3,B,3,1,12,9.0,19.0,7825
1000117,P311744,F,0-17,10,B,0,1,20,,,19756
1000506,P527827,F,51-55,1,C,2,1,8,15.0,,5028
1000833,P398452,F,51-55,4,A,3,1,16,3.0,14.0,10885
1000064,P909682,F,36-45,14,C,0,1,6,11.0,,10429
1000112,P523079,M,0-17,2,A,2,0,12,,17.0,12253
1000577,P968511,F,55+,14,C,0,1,10,16.0,,11744
1000477,P731134,M,18-25,10,A,1,0,18,20.0,,3096
1000346,P713279,M,18-25,10,C,0,1,16,17.0,11.0,14322
1000939,P847620,F,55+,8,A,2,1,3,,,4138
1000435,P115085,M,46-50,20,B,1,1,2,,,18373
1000333,P114430,M,0-17,3,C,3,1,19,,,14994
1000042,P593312,M,46-50,15,A,2,0,6,,9.0,6030
1000522,P454491,M,46-50,2,B,1,0,3,,,6800
1000229,P451657,M,18-25,17,B,0,1,2,,,2441
1000587,P951597,F,36-45,2,C,3,1,2,10.0,,13037
1000996,P691602,M,0-17,8,B,1,1,17,,18.0,16925
1000809,P513913,M,0-17,1,A,3,1,1,,,6602
1000577,P146384,F,0-17,11,B,1,1,11,,,9628
1000263,P173310,F,55+,6,B,2,1,18,,,10442
1000795,P564763,F,36-45,17,C,1,1,2,20.0,17.0,12208
1000926,P689841,F,26-35,20,A,2,0,14,1.0,2.0,16404
1000677,P724187,M,51-55,6,C,3,1,8,,,7276
1000803,P459684,F,0-17,16,C,2,1,17,,19.0,13033
1000676,P270326,M,18-25,6,A,4+,0,1,,,3803
1000512,P951139,F,51-55,5,C,0,0,1,1.0,16.0,574
1000111,P329148,M,0-17,8,B,2,1,14,8.0,15.0,12340
1000224,P616206,F,36-45,11,B,0,1,7,13.0,16.0,18261
1000141,P545248,F,26-35,12,C,0,0,3,20.0,19.0,5573
1000994,P950052,M,18-25,15,A,4+,1,20,12.0,,19376
1000831,P690305,M,46-50,9,A,4+,1,13,4.0,,3511
1000665,P377191,F,0-17,17,C,3,1,11,11.0,,10307
1000867,P193581,M,51-55,11,B,2,0,16,,11.0,16452
1000997,P350659,F,18-25,16,B,4+,1,5,,13.0,7440
1000279,P431035,F,26-35,17,A,0,0,18,1.0,,4844
1000924,P713523,M,26-35,12,B,2,0,10,,,18975
1000273,P462330,M,36-45,17,B,1,1,18,16.0,14.0,9683
1000401,P838610,F,46-50,11,C,0,0,17,6.0,20.0,19631
1000197,P386869,M,51-55,14,A,3,0,11,18.0,5.0,18016
1000784,P722931,M,51-55,4,C,3,0,15,,8.0,18813
1000010,P920275,M,0-17,14,B,1,0,4,6.0,12.0,798
1000630,P385013,F,18-25,17,A,4+,1,18,19.0,8.0,7352
1000072,P459385,F,0-17,18,A,4+,0,14,15.0,,11853
1000960,P526946,M,55+,12,B,1,0,7,,2.0,8664
1000294,P936915,M,0-17,16,B,4+,1,7,10.0,6.0,9906
1000831,P764288,F,0-17,17,C,3,0,12,,3.0,18300
1000820,P755815,F,36-45,15,B,2,0,20,,,1823
1000633,P810882,F,26-35,3,C,4+,1,16,,,19467
1000531,P534440,F,0-17,10,B,3,1,10,,,12336
1000557,P614801,M,18-25,2,A,2,1,20,4.0,15.0,12966
1000331,P834447,M,36-45,12,B,3,0,7,14.0,,13181
1000873,P782181,M,0-17,1,C,1,0,2,2.0,9.0,19019
1000090,P784332,F,26-35,3,A,4+,1,1,,1.0,13250
1000005,P333163,M,46-50,0,C,0,0,16,16.0,,19144
1000581,P498701,M,46-50,9,C,3,0,1,,,12828
1000895,P334594,M,55+,20,B,1,0,16,,12.0,1133
1000807,P993954,M,0-17,15,B,2,0,5,,11.0,13172
1000458,P985547,F,36-45,4,A,2,0,7,,,10109
1000806,P179991,M,36-45,12,B,1,0,20,14.0,19.0,12933
1000626,P765163,M,0-17,0,A,3,0,8,,,3123
1000454,P725748,F,18-25,20,B,0,1,6,14.0,,7781
1000434,P768147,F,46-50,11,C,3,1,5,7.0,9.0,15416
1000279,P307558,M,46-50,8,C,4+,1,19,12.0,2.0,12763
1000492,P701430,F,51-55,4,A,3,1,5,16.0,,19582
1000805,P868309,M,26-35,0,A,0,0,8,,11.0,16662
1000577,P182047,F,26-35,20,C,1,0,20,9.0,,13735
1000133,P800890,F,51-55,16,B,3,0,15,17.0,12.0,11540
1000425,P169789,F,0-17,7,C,0,0,13,,,12158
1000022,P125962,M,51-55,15,C,3,0,12,11.0,5.0,3443
1000602,P661181,M,26-35,2,A,0,1,9,,,13127
1000466,P243109,M,26-35,6,C,0,0,19,,,18681
1000465,P386296,M,18-25,12,B,0,0,4,,12.0,4034
1000406,P130865,M,26-35,5,A,3,1,16,14.0,,4730
1000880,P786111,M,51-55,20,C,4+,1,3,,8.0,11501
1000303,P383020,M,26-35,14,C,0,0,13,1.0,,2339
1000334,P359525,F,26-35,19,B,2,1,8,16.0,,16953
1000781,P286108,F,26-35,18,B,3,1,4,,,3568
1000944,P146476,M,46-50,17,B,3,1,20,10.0,20.0,18266
1000154,P526662,F,0-17,3,C,1,1,10,17.0,,19373
1000005,P451846,M,0-17,3,A,2,1,15,4.0,2.0,8797
1000170,P887163,F,36-45,9,C,1,0,20,9.0,3.0,5606
1000301,P941224,F,55+,18,B,3,1,5,,8.0,991
1000694,P105497,M,55+,18,C,1,1,15,,,4300
1000260,P390381,M,55+,17,C,2,0,2,16.0,7.0,18935
1000027,P442895,F,46-50,15,B,3,1,8,,,15668
1000703,P807307,M,0-17,2,B,3,0,9,6.0,,6269
1000026,P953366,M,51-55,10,B,0,1,10,7.0,13.0,14307
1000047,P963324,F,18-25,2,B,2,0,15,5.0,,6244
1000870,P644809,M,18-25,1,B,0,1,17,11.0,,2472
1000503,P527862,F,26-35,15,A,3,0,10,19.0,2.0,10937
1000721,P643142,F,0-17,6,A,0,0,7,,,19940
1000326,P267455,F,36-45,3,A,4+,1,16,,,14331
1000565,P346419,M,18-25,12,C,0,1,10,5.0,,2663
1000523,P616644,F,55+,7,A,2,0,4,2.0,7.0,8055
1000672,P776415,M,18-25,7,B,1,1,14,18.0,11.0,13923
1000959,P850793,F,36-45,10,C,1,0,5,,15.0,8866
1000863,P869555,M,36-45,6,B,4+,0,20,4.0,,3048
1000490,P192410,F,26-35,7,C,4+,1,20,,,13078
1000088,P670562,F,26-35,6,A,4+,1,12,,,16388
1000553,P323596,F,0-17,20,C,0,0,9,10.0,,1895
1000436,P368431,F,51-55,1,A,0,1,3,,,14992
1000957,P208863,F,18-25,7,A,4+,0,2,,,4705
1000658,P275850,M,18-25,16,C,0,1,11,,,13341
1000691,P540329,M,55+,17,C,1,1,4,,,6961
1000935,P402716,M,0-17,10,A,0,0,20,17.0,7.0,1048
1000551,P395966,M,0-17,8,A,0,1,12,,,2872
1000512,P546569,F,26-35,7,B,0,0,14,13.0,17.0,13806
1000328,P170293,F,18-25,10,B,2,1,1,,1.0,18439
1000842,P241124,F,51-55,4,B,4+,0,12,,18.0,16793
1000403,P860399,M,0-17,10,B,3,0,18,,,18195
1000648,P851409,F,55+,17,A,3,1,17,,5.0,19185
1000598,P731850,M,55+,1,A,0,0,18,,9.0,3892
1000046,P806360,M,55+,1,B,2,0,11,,,16165
1000071,P709490,F,0-17,7,C,4+,1,14,8.0,5.0,1918
1000272,P393779,F,46-50,1,A,1,0,18,,19.0,8032
1000447,P999132,F,55+,12,C,0,0,16,9.0,,14056
1000221,P969793,F,0-17,5,A,3,1,6,,14.0,16641
1000048,P345701,M,55+,7,B,4+,0,20,,20.0,4360
1000981,P539373,M,36-45,3,A,2,1,1,,18.0,12755
1000984,P719688,M,36-45,8,C,3,0,8,,,7716
1000219,P544007,M,51-55,3,C,1,0,7,9.0,,809
1000727,P503806,F,46-50,17,C,1,0,14,,17.0,17796
1000637,P125387,F,46-50,18,A,0,0,19,,,8403
1000004,P318782,F,26-35,15,C,0,1,17,,,17996
1000996,P175635,M,36-45,15,B,4+,1,10,15.0,10.0,10753
1000582,P958901,F,18-25,17,C,4+,0,10,18.0,11.0,10614
1000942,P620603,M,26-35,2,B,2,0,16,,,5315
1000453,P845101,F,18-25,7,C,0,1,3,13.0,5.0,738
1000930,P910340,F,36-45,19,A,0,0,18,5.0,,931
1000870,P574081,M,46-50,17,C,2,1,7,,11.0,12375
1000360,P827294,M,51-55,20,B,2,1,17,,9.0,12199
1000292,P695026,M,51-55,19,A,4+,0,7,20.0,,8746
1000157,P840946,F,18-25,19,A,0,0,14,,2.0,13110
1000404,P265732,M,18-25,7,C,2,1,1,12.0,,18978
1000366,P840470,F,0-17,10,C,2,0,9,3.0,2.0,14734
1000004,P540632,F,55+,20,B,2,1,14,6.0,7.0,10956
1000301,P444871,F,18-25,17,C,3,1,7,3.0,,10367
1000296,P770148,F,26-35,6,C,1,1,15,20.0,,15088
1000967,P860339,F,55+,1,A,0,1,2,20.0,16.0,6863
1000277,P249321,M,51-55,12,A,4+,1,3,16.0,,2925
1000232,P382246,F,51-55,17,A,3,1,11,,,8997
1000285,P691995,F,36-45,16,A,4+,0,10,,,1800
1000600,P562972,M,55+,18,C,2,0,19,10.0,,7776
1000753,P504978,F,46-50,4,A,4+,0,12,3.0,4.0,1264
1000949,P459234,M,55+,12,B,2,1,8,,13.0,13232
1000937,P846771,F,55+,15,B,0,0,14,,3.0,12245
1000838,P200605,F,0-17,15,C,1,1,13,11.0,,14367
1000487,P172203,F,26-35,11,A,3,1,3,,,8080
1000551,P718521,M,51-55,5,A,2,0,9,,7.0,13324
1000862,P496237,M,51-55,3,B,3,0,6,7.0,17.0,16208
1000312,P365412,M,36-45,11,A,0,1,14,,,1638
1000748,P322460,F,18-25,20,C,0,0,1,8.0,14.0,5901
1000130,P957830,F,18-25,19,C,1,1,14,,13.0,4344
1000078,P469974,F,36-45,2,A,4+,1,14,5.0,7.0,15893
1000876,P186793,M,55+,12,C,0,1,14,,6.0,3303
1000957,P451633,M,26-35,14,B,1,1,2,3.0,,9463
1000947,P146530,M,55+,1,C,1,1,1,,,4965
1000834,P882899,F,51-55,19,C,2,1,4,10.0,1.0,13426
1000514,P618842,M,18-25,2,B,2,0,10,20.0,,2067
1000542,P155686,F,55+,12,B,2,1,6,,14.0,7987
1000915,P652739,F,26-35,11,B,4+,1,1,,,7853
1000732,P277864,F,0-17,16,A,0,0,12,,,5887
1000898,P402490,M,36-45,19,B,2,1,18,,,3552
1000331,P731409,M,18-25,13,A,2,1,14,,,11865
1000676,P958055,M,18-25,16,C,0,0,3,11.0,19.0,11084
1000212,P919239,F,36-45,10,C,4+,1,6,19.0,,5890
1000762,P517816,M,46-50,20,A,2,1,15,,9.0,3675
1000002,P356349,F,26-35,7,A,1,1,10,20.0,,5911
1000785,P786138,M,51-55,2,B,4+,0,1,6.0,,6753
1000831,P295580,M,36-45,7,A,1,0,10,,,9622
1000354,P548264,F,55+,6,A,3,1,13,14.0,,13750
1000084,P461300,F,46-50,0,A,1,1,15,20.0,,15005
1000916,P432885,M,26-35,16,B,2,0,17,,,8496
1000858,P789374,F,26-35,4,A,1,1,2,1.0,,2621
1000705,P901538,M,55+,3,C,2,1,18,13.0,17.0,1300
1000220,P553460,F,26-35,19,C,0,0,15,15.0,9.0,19439
1000813,P804367,F,0-17,0,B,1,1,11,4.0,,9867
1000622,P880533,F,46-50,19,A,3,1,15,18.0,9.0,18271
1000882,P541144,M,55+,12,B,3,0,12,18.0,,4370
1000572,P965180,M,55+,10,B,1,1,17,,10.0,6741
1000330,P651766,F,18-25,13,A,0,1,13,14.0,2.0,10651
1000752,P810651,M,36-45,12,A,4+,0,1,9.0,7.0,580
1000865,P734515,F,46-50,3,B,4+,1,16,,,14041
1000160,P860799,M,51-55,13,B,2,1,3,,,7949
1000464,P229283,F,46-50,3,C,2,1,11,,4.0,18219
1000303,P596074,M,51-55,10,C,3,0,15,,1.0,11229
1000160,P182073,F,46-50,18,C,0,0,5,,7.0,14240
1000964,P620351,M,26-35,20,B,3,1,18,,16.0,11492
1000424,P318864,M,55+,14,B,0,1,4,,,6498
1000055,P601522,F,46-50,0,A,2,0,8,,6.0,12998
1000486,P620994,M,46-50,11,B,4+,1,6,,,2929
1000601,P711610,M,55+,11,B,3,1,1,11.0,2.0,13726
1000779,P698967,F,36-45,8,B,2,1,5,2.0,16.0,1578
1000087,P174745,M,46-50,19,B,4+,0,16,,18.0,18695
1000836,P523322,F,0-17,8,A,2,0,16,20.0,9.0,3107
1000180,P185787,M,26-35,10,B,2,1,8,,2.0,8157
1000121,P183213,M,18-25,7,A,3,0,9,11.0,4.0,1426
1000850,P453334,M,36-45,6,A,2,0,19,,10.0,12993
1000345,P788660,F,18-25,0,C,1,0,15,5.0,,5254
1000161,P561979,M,46-50,10,A,1,0,8,,14.0,17528
1000904,P229734,F,55+,13,B,4+,1,20,,11.0,5166
1000880,P107122,M,18-25,6,B,3,1,9,6.0,13.0,16321
1000873,P392416,F,46-50,15,C,4+,0,10,8.0,,18612
1000194,P294130,M,36-45,0,A,4+,1,2,,,13299
1000082,P269528,M,18-25,16,C,1,1,10,4.0,14.0,14470
1000134,P131475,F,26-35,15,A,1,0,12,12.0,,5425
1000619,P919365,M,18-25,2,B,0,0,17,2.0,,10300
1000342,P845478,M,51-55,5,B,3,0,5,,,13814
1000524,P747722,M,26-35,3,C,0,1,4,,1.0,11416
1000830,P517967,M,55+,10,B,3,1,5,,2.0,9271
1000537,P410333,F,46-50,6,C,3,0,4,,17.0,13677
1000581,P969372,M,18-25,10,C,3,1,9,,13.0,8935
1000148,P974393,M,55+,14,A,2,1,10,,,8905
1000030,P398671,M,26-35,1,A,3,1,1,19.0,,12369
1000116,P642005,M,18-25,7,B,3,0,1,9.0,,16793
1000764,P739622,F,55+,13,A,2,1,6,,7.0,6376
1000605,P446750,F,18-25,9,B,2,0,11,,9.0,11643
1000718,P129219,M,36-45,6,B,3,1,15,,,7418
1000091,P774720,M,26-35,11,C,3,1,9,,,1396
1000898,P766933,F,55+,11,B,1,0,8,,3.0,2621
1000841,P566529,M,51-55,13,B,0,1,1,,1.0,15157
1000828,P618368,M,36-45,12,B,3,0,7,,,12768
1000065,P202495,M,51-55,7,A,2,0,9,,,17121
1000176,P918988,F,36-45,4,A,0,0,19,,19.0,14381
1000413,P500519,M,55+,19,A,1,0,11,12.0,,18409
1000694,P339622,F,26-35,20,A,3,1,1,,5.0,11864
1000573,P872340,M,26-35,6,A,4+,1,14,,2.0,18475
1000620,P731471,M,55+,2,B,1,0,20,11.0,5.0,6311
1000458,P918908,M,26-35,14,B,4+,1,5,13.0,,9286
1000419,P424027,F,36-45,4,B,4+,1,4,,,19349
1000860,P652511,M,36-45,12,A,0,0,12,6.0,1.0,4092
